project_name,missing_data
"TCGA-UCEC",""
"TCGA-LGG",""
"TCGA-SARC",""
"TCGA-PAAD",""
"TCGA-ESCA",""
"TCGA-PRAD",""
"TCGA-LAML","rna,rrpa"
"TCGA-KIRC",""
"TCGA-PCPG",""
"TCGA-HNSC",""
"TCGA-OV",""
"TCGA-GBM","mir"
"TCGA-UCS",""
"TCGA-MESO",""
"TCGA-TGCT",""
"TCGA-KICH",""
"TCGA-READ",""
"TCGA-UVM",""
"TCGA-THCA",""
"TCGA-LIHC",""
"TCGA-THYM",""
"TCGA-CHOL",""
"TCGA-DLBC",""
"TCGA-KIRP",""
"TCGA-BLCA",""
"TCGA-BRCA",""
"TCGA-COAD",""
"TCGA-CESC",""
"TCGA-LUSC",""
"TCGA-STAD",""
"TCGA-SKCM",""
"TCGA-LUAD",""
"TCGA-ACC",""
